timestamp,x,y,z
498740,1.33,-4.165,-2.59
498758,1.82,-4.095,-2.275
498777,2.135,-4.165,-2.205
498796,2.24,-4.55,-2.205
498815,2.24,-4.41,-2.38
498833,2.135,-4.445,-2.555
498852,1.645,-4.375,-2.695
498871,1.26,-4.375,-2.73
498890,0.735,-4.095,-2.45
498908,0.14,-3.955,-2.135
498927,0.21000001,-4.165,-1.925
498946,0.945,-4.55,-2.135
498965,2.065,-4.97,-2.59
498983,2.52,-5.355,-2.695
499002,2.1,-5.46,-2.31
499021,1.155,-4.97,-1.995
499040,0.28,-4.2,-1.6800001
499058,0.035,-3.7450001,-1.645
499077,0.105000004,-3.5,-1.925
499096,0.42000002,-3.535,-2.31
499115,0.7,-3.78,-2.59
499133,0.945,-3.92,-2.835
499152,1.12,-4.27,-2.695
499171,1.085,-4.445,-2.45
499190,1.015,-4.41,-2.1
499208,0.875,-4.375,-1.6800001
499227,1.015,-4.375,-1.61
499246,1.085,-4.515,-1.75
499265,1.19,-4.97,-2.065
499283,1.26,-5.32,-2.345
499302,1.26,-5.25,-2.38
499321,1.26,-4.97,-2.275
499340,1.26,-4.62,-2.275
499358,1.33,-4.2,-2.205
499377,1.575,-3.78,-2.38
499396,1.715,-3.675,-2.38
499415,1.785,-3.885,-2.45
499433,1.6800001,-4.165,-2.38
499452,1.47,-4.34,-2.205
499471,1.4,-4.375,-2.1
499490,1.365,-4.515,-1.995
499508,0.98,-4.97,-2.17
499527,0.595,-5.355,-2.45
499546,0.42000002,-5.565,-2.905
499565,0.56,-5.425,-3.08
499583,0.49,-5.145,-2.765
499602,0.385,-5.145,-2.31
499621,0.315,-5.04,-1.995
499640,0.42000002,-4.97,-1.575
499658,0.49,-5.04,-1.645
499677,0.91,-5.145,-2.03
499696,1.645,-5.11,-2.415
499714,1.995,-5.425,-2.8700001
499732,1.715,-5.565,-2.94
499751,1.085,-5.39,-2.66
499769,0.385,-5.11,-2.345
499789,0.21000001,-4.97,-2.205
499807,0.455,-4.83,-2.17
499826,0.7,-4.69,-2.38
499845,0.385,-4.27,-3.01
499864,-0.98,-3.465,-4.445
499882,-4.48,-2.065,-8.12
499901,-12.705,0.875,-16.625
499920,-26.005,5.95,-31.99
499939,-41.895,11.76,-51.94
499957,-56.28,16.73,-72.31
499976,-65.345,18.515,-87.815
499995,-71.715004,20.545,-97.335
500014,-74.515,23.17,-101.78
500032,-71.54,23.38,-100.24
500051,-63.98,20.335001,-90.475
500070,-52.885,15.96,-73.29
500089,-38.29,10.745,-51.415
500107,-21.84,5.25,-27.86
500126,-6.7200003,0.42000002,-6.16
500145,7.735,-4.165,10.815
500164,21.385,-8.575,23.52
500182,31.675,-12.285,34.195
500201,39.55,-15.365,43.295002
500220,50.715,-19.04,53.235
500239,64.225,-24.255,65.87
500257,78.995,-30.415,81.585
500276,92.33,-36.085,98.840004
500295,100.73,-39.34,113.61
500314,106.61,-39.305,124.145004
500332,107.520004,-37.905,129.255
500351,102.2,-34.685,126.49
500370,98.455,-30.45,119.035
500389,94.99,-26.005,109.41
500407,88.585,-22.33,98.77
500426,77.42,-20.335001,85.155
500445,63.735,-18.445,67.55
500464,53.41,-15.435,49.805
500482,41.37,-12.88,33.81
500501,24.955,-8.54,16.415
500520,6.685,-1.82,-4.2
500539,-13.51,4.585,-26.355
500557,-32.97,9.135,-48.37
500576,-50.33,12.11,-68.46
500595,-67.025,14.385,-87.92
500614,-83.265,15.89,-107.205
500632,-96.285,16.555,-124.845
500651,-105.245,17.15,-138.355
500670,-108.465004,17.605,-146.02
500689,-108.92,19.845,-146.475
500707,-106.75,23.415,-139.615
500726,-99.155,24.885,-125.86
500745,-87.115,24.535,-107.975
500764,-73.22,23.275,-88.445
500782,-57.995,19.565,-68.67
500801,-44.73,15.33,-50.54
500820,-33.075,11.305,-35.77
500839,-23.135,6.79,-24.15
500857,-16.205,3.7450001,-16.905
500876,-12.705,2.905,-14.315001
500895,-9.835,2.8,-13.58
500914,-4.8650002,1.505,-11.06
500932,3.045,-1.4350001,-4.55
500951,12.985,-5.81,6.475
500970,23.555,-11.69,19.705
500989,33.81,-17.29,33.18
501007,43.785,-23.275,45.465
501026,53.41,-29.155,56.49
501045,63.91,-34.055,67.62
501064,73.395,-37.135,79.835
501082,78.19,-37.45,89.81
501101,79.38,-35.245,94.57
501120,83.055,-32.9,97.93
501139,88.095,-31.465,102.795
501157,88.445,-30.695,106.925
501176,81.9,-26.985,104.72
501195,75.215004,-22.155,97.65
501213,68.075,-18.41,86.87
501231,59.15,-15.505,73.01
501250,48.51,-12.775,57.12
501268,37.275,-8.82,40.39
501288,26.04,-5.39,24.78
501306,13.79,-2.835,9.905
501325,2.24,-1.19,-3.71
501344,-9.1,0.175,-15.68
501363,-19.81,1.89,-27.125
501381,-28.175,2.975,-37.59
501400,-35.385,4.165,-47.915
501419,-42.98,4.83,-57.365
501438,-49.595,5.145,-65.52
501456,-54.53,5.25,-72.38
501475,-59.010002,6.055,-78.05
501494,-62.475,7.665,-82.355
501513,-65.835,10.255,-85.785
501531,-66.29,12.425,-87.08
501550,-64.12,13.86,-85.155
501569,-61.005,15.155,-80.01
501588,-57.155,16.31,-73.535
501606,-52.185,16.065,-66.255
501625,-46.165,14.735,-58.205
501644,-40.88,13.265,-49.84
501663,-36.54,11.97,-42.35
501681,-32.06,10.115,-35.945
501700,-27.37,7.805,-31.045
501719,-22.4,5.145,-27.09
501738,-17.29,2.765,-23.135
501756,-13.09,1.155,-18.9
501775,-8.54,-0.21000001,-14.14
501794,-3.15,-2.135,-8.33
501813,3.43,-4.585,-0.875
501831,11.095,-7.4900002,8.19
501850,18.83,-10.255,17.675
501869,26.95,-12.005,26.425
501888,35.98,-14.49,35.91
501906,45.115,-18.165,46.375
501925,52.745,-22.085001,57.12
501944,57.995,-24.99,66.5
501963,61.355,-26.075,73.29
501981,60.655,-25.655,76.02
502000,58.24,-24.185,74.515
502019,57.645,-22.12,71.505
502038,58.345,-20.475,69.055
502056,57.575,-19.32,67.13
502075,56.175,-18.13,64.82
502094,56.665,-16.94,63.245
502113,53.69,-15.785,60.445
502131,46.76,-14.175,53.725
502150,40.635,-12.215,44.835
502169,35.105,-10.36,35.945
502188,27.09,-8.47,26.845
502206,17.325,-6.475,16.52
502225,7.665,-4.585,5.32
502244,-2.275,-2.73,-6.3
502263,-12.565,-1.19,-17.78
502281,-21.91,0.385,-28.98
502300,-30.835001,1.855,-40.11
502319,-39.06,2.94,-50.645
502338,-46.515,3.675,-60.2
502356,-52.605,4.13,-68.075
502375,-58.24,5.39,-74.585
502394,-62.195,7.525,-79.905
502413,-63.35,9.31,-82.6
502431,-61.53,10.045,-81.165
502450,-59.15,11.41,-76.3
502469,-54.635002,11.725,-69.125
502488,-47.845,10.5,-59.815
502506,-40.95,9.38,-49.945
502525,-34.3,8.8550005,-40.74
502544,-27.335001,7.7,-32.62
502563,-21.35,6.405,-26.11
502581,-16.17,4.935,-20.545
502600,-12.04,3.605,-15.89
502619,-8.26,2.24,-11.9
502638,-4.375,0.525,-7.5950003
502656,1.155,-1.225,-1.785
502675,8.435,-3.71,5.67
502694,17.29,-6.37,14.42
502712,27.195,-8.925,24.745
502730,35.77,-11.69,35.91
502749,42.98,-15.155,46.48
502767,50.19,-18.935,56.665
502787,57.575,-22.26,66.745
502805,64.54,-24.255,76.475
502824,68.18,-24.64,83.825
502843,66.885,-23.275,85.75
502862,64.085,-21.105,82.88
502880,62.195,-18.76,77.455
502899,60.235,-16.835001,71.54
502918,55.965,-15.05,65.87
502937,49.35,-13.37,58.695
502955,41.51,-11.27,48.65
502974,34.23,-8.89,37.31
502993,26.81,-7.4900002,26.915
503012,20.545,-7.0,19.11
503030,15.05,-7.035,13.16
503049,10.01,-5.635,7.91
503068,5.145,-3.92,2.8
503087,0.07,-2.415,-3.045
503105,-5.25,-1.225,-9.38
503124,-11.025,0.035,-16.275
503143,-16.975,1.33,-23.835001
503162,-21.7,1.995,-30.835001
503180,-25.515,2.205,-36.785
503199,-28.210001,2.135,-40.81
503218,-31.22,2.835,-43.715
503237,-35.28,4.235,-46.41
503255,-39.095,5.215,-50.015
503274,-38.71,5.355,-52.325
503293,-34.93,4.97,-50.995
503312,-33.005,4.83,-47.04
503330,-32.725,5.985,-43.26
503349,-30.275,6.265,-39.48
503368,-25.69,5.32,-34.58
503387,-20.79,3.465,-28.35
503405,-16.835001,1.715,-21.805
503424,-13.405,0.245,-16.03
503443,-9.87,-1.12,-11.62
503462,-6.44,-2.625,-7.84
503480,-3.29,-4.27,-4.62
503499,-0.35,-5.7400002,-2.065
503518,1.505,-6.79,0.105000004
503537,2.415,-7.175,1.225
503555,2.835,-7.21,1.505
503574,2.8,-7.07,0.98
503593,2.275,-6.93,0.105000004
503612,1.505,-6.44,-0.7
503630,1.155,-5.67,-1.365
503649,1.33,-5.11,-1.855
503668,2.1,-4.305,-2.38
503687,2.66,-3.885,-2.555
503705,2.66,-3.465,-2.345
503724,1.995,-3.115,-1.925
503743,0.945,-2.345,-1.82
503762,0.35,-2.17,-2.24
503780,0.07,-2.38,-3.115
503799,0.175,-2.73,-3.64
503818,0.385,-3.15,-3.605
503837,0.735,-3.7450001,-3.22
503855,1.085,-4.55,-2.52
503874,1.33,-5.25,-1.925
503893,1.155,-5.46,-1.6800001
503912,1.12,-5.46,-1.645
503930,1.47,-5.285,-1.96
503949,1.995,-5.005,-2.065
503968,2.555,-4.305,-1.925
503987,2.94,-3.675,-1.6800001
504005,3.465,-3.185,-1.33
504024,3.71,-2.835,-0.735
504043,3.7450001,-2.66,0.0
504062,3.675,-2.485,0.245
504080,3.535,-2.485,-0.105000004
504099,3.22,-2.73,-0.805
504118,2.625,-3.01,-1.47
504137,1.925,-3.15,-2.065
504155,1.365,-3.535,-2.52
504174,1.05,-4.305,-2.695
504193,0.875,-5.285,-2.625
504211,0.7,-5.88,-2.45
504229,0.63,-5.95,-2.415
504248,0.56,-5.915,-2.555
504266,0.525,-5.7400002,-2.555
504286,0.665,-5.915,-2.485
504304,0.63,-5.845,-2.45
504323,0.595,-5.7400002,-2.31
504342,0.84000003,-5.425,-2.205
504361,0.875,-4.935,-1.925
504379,1.015,-4.445,-1.645
504398,1.4,-4.025,-1.4
504417,1.715,-3.605,-1.155
504436,1.855,-3.675,-1.225
504454,1.925,-3.955,-1.61
504473,2.1,-4.235,-1.925
504492,1.995,-4.41,-2.135
504511,1.61,-4.41,-2.31
504529,1.4350001,-4.655,-2.415
504548,1.12,-4.76,-2.205
504567,0.455,-4.935,-2.03
504586,0.105000004,-5.25,-2.065
504604,0.595,-5.495,-2.555
504623,1.47,-5.7400002,-3.045
504642,2.1,-5.635,-3.22
504661,2.03,-5.215,-2.905
504679,1.295,-4.97,-2.24
504698,0.735,-4.725,-1.47
504717,0.525,-4.795,-1.19
504736,0.525,-4.69,-1.505
504754,0.49,-4.445,-2.275
504773,0.595,-4.235,-3.01
504792,0.805,-4.025,-3.325
504811,1.015,-4.165,-3.185
504829,1.225,-4.165,-2.765
504848,1.295,-3.85,-2.065
504867,1.26,-4.06,-1.61
504886,1.33,-4.305,-1.645
504904,1.26,-4.655,-2.1
504923,1.085,-5.075,-2.52
504942,1.05,-5.46,-2.905
504961,1.12,-5.355,-2.905
504979,1.05,-5.25,-2.695
504998,1.015,-5.25,-2.31
505017,1.05,-5.39,-2.24
505036,1.155,-5.39,-2.17
505054,1.4,-5.495,-2.17
505073,1.61,-5.7400002,-2.205
505092,1.575,-6.125,-2.31
505111,1.26,-6.58,-2.24
505129,1.085,-6.965,-2.1
505148,1.015,-7.56,-1.96
505167,0.735,-8.05,-2.03
505186,0.49,-7.735,-1.995
505204,0.385,-7.35,-2.135
505223,0.21000001,-6.16,-2.24
505242,0.07,-4.515,-2.24
505261,0.0,-1.6800001,-2.03
505279,0.105000004,3.29,-1.645
505298,0.35,10.465,-1.015
505317,1.12,17.64,-0.245
505336,3.08,32.445,1.61
505354,5.425,54.74,4.48
505373,8.54,78.365,6.58
505392,12.53,105.315,8.96
505411,17.710001,132.51,12.95
505429,19.775,136.64,14.42
505448,17.325,125.090004,11.095
505467,13.545,111.51,6.195
505486,11.095,94.185,4.025
505504,9.24,72.590004,3.08
505523,8.435,52.745,2.345
505542,7.665,33.25,1.155
505561,6.23,14.49,-0.98
505579,4.06,-2.45,-4.515
505598,1.05,-19.285,-8.4
505617,-1.12,-35.315,-12.46
505636,-2.59,-51.625,-15.89
505654,-4.34,-71.785,-17.675
505673,-5.95,-92.645,-17.99
505692,-7.735,-111.265,-17.5
505710,-9.38,-130.865,-17.57
505728,-9.765,-152.81,-18.305
505747,-8.54,-165.655,-18.305
505765,-6.86,-161.80501,-16.52
505785,-6.6150002,-145.04,-13.755
505803,-8.015,-128.87,-10.85
505822,-8.61,-112.245,-8.19
505841,-7.21,-91.875,-5.845
505860,-3.7450001,-67.165,-4.515
505878,-0.245,-41.3,-3.605
505897,1.47,-21.07,-3.15
505916,1.75,-6.965,-3.115
505935,1.855,3.85,-3.255
505953,2.38,13.755,-3.15
505972,2.905,24.045,-2.45
505991,3.535,34.685,-1.26
506010,3.71,48.755,-0.385
506028,4.725,67.235,0.805
506047,6.755,88.095,2.835
506066,8.89,104.93,4.83
506085,10.43,124.425,5.985
506103,11.83,143.955,6.7200003
506122,14.315001,162.96,8.05
506141,15.015,167.895,7.5950003
506160,14.35,166.39,6.16
506178,12.565,152.845,3.99
506197,10.08,129.36,3.43
506216,7.805,104.895,3.465
506235,5.7400002,78.19,2.8700001
506253,4.34,51.45,1.4
506272,3.01,27.055,0.0
506291,1.575,5.215,-1.015
506310,0.525,-14.245,-2.275
506328,-0.35,-31.92,-4.235
506347,-1.225,-47.985,-6.51
506366,-2.1,-63.56,-8.19
506385,-3.01,-79.415,-9.765
506403,-4.445,-94.605,-11.83
506422,-5.67,-109.515,-14.735
506441,-7.385,-123.69,-17.325
506460,-9.275,-128.59,-18.97
506478,-11.27,-130.795,-20.615
506497,-11.55,-129.115,-21.56
506516,-13.09,-129.15,-21.735
506535,-14.595,-128.135,-22.155
506553,-15.575,-120.89,-22.645
506572,-16.03,-107.695,-22.19
506591,-15.96,-91.805,-18.795
506610,-12.81,-70.14,-13.335
506628,-8.715,-46.795002,-7.35
506647,-5.915,-24.745,-3.71
506666,-4.235,-2.485,-2.94
506685,-3.22,21.805,-3.3600001
506703,-1.75,47.005,-2.765
506722,0.735,69.58,-0.56
506741,1.925,87.08,1.4350001
506760,2.31,100.24,2.205
506778,2.485,107.45,2.03
506797,1.995,109.025,2.45
506816,2.31,113.015,3.92
506835,2.065,109.515,3.92
506853,1.855,100.695,2.94
506872,1.365,88.340004,1.365
506891,0.28,71.645,-0.21000001
506910,0.245,56.56,-1.715
506928,0.735,43.575,-2.52
506947,0.77,29.715,-2.975
506966,0.665,14.9800005,-3.185
506985,0.63,0.98,-3.43
507003,0.035,-13.3,-4.69
507022,-1.4350001,-29.82,-6.545
507041,-2.73,-44.975,-8.05
507060,-4.41,-62.475,-9.135
507078,-6.37,-85.225,-10.535
507097,-8.435,-111.72,-12.775
507116,-9.94,-137.655,-14.805
507135,-10.465,-153.51,-15.505
507153,-10.465,-153.79,-14.07
507172,-9.52,-145.32,-11.34
507191,-6.895,-123.83,-6.895
507209,-3.605,-97.755,-1.89
507227,-0.525,-75.67,1.61
507246,1.365,-58.1,3.57
507264,2.59,-41.58,4.2
507284,3.605,-26.355,4.445
507302,3.99,-12.775,4.13
507321,4.095,-1.155,3.71
507340,3.92,8.225,3.395
507359,3.99,19.215,3.71
507377,4.935,33.215,4.62
507396,6.335,45.78,5.845
507415,8.925,58.87,7.7
507434,11.445,69.615,9.205
507452,12.425,76.090004,10.465
507471,12.81,85.96,11.865
507490,12.985,93.1,12.285
507509,12.985,93.905,12.04
507527,13.335,90.51,11.235
507546,13.79,88.515,11.375
507565,12.495,83.475,10.885
507584,10.99,74.97,9.45
507602,9.695,65.415,7.56
507621,8.05,53.55,5.67
507640,6.475,41.965,3.64
507659,5.425,29.54,1.61
507677,3.955,14.735,-0.175
507696,2.625,-2.17,-1.575
507715,0.735,-23.835001,-3.395
507734,-0.77,-46.305,-5.495
507752,-1.89,-68.04,-6.93
507771,-2.065,-84.56,-8.225
507790,-2.94,-95.48,-9.415
507809,-4.025,-103.565,-10.815
507827,-3.78,-107.835,-12.285
507846,-3.535,-109.340004,-13.79
507865,-4.55,-110.67,-14.77
507884,-6.405,-106.085,-14.595
507902,-6.93,-92.085,-13.2300005
507921,-6.02,-73.78,-11.165
507940,-4.76,-57.085,-8.225
507959,-3.535,-40.74,-4.8650002
507977,-1.995,-21.525,-2.065
507996,-0.63,-3.43,-0.665
508015,-0.035,10.01,-0.315
508034,-0.07,21.84,-0.14
508052,0.105000004,32.515,0.98
508071,-0.455,41.86,2.31
508090,-2.38,50.505,2.66
508109,-4.9,56.315,2.17
508127,-6.055,61.32,2.31
508146,-5.775,64.4,2.975
508165,-5.775,63.21,3.64
508184,-5.775,61.425,3.535
508202,-4.55,58.555,2.625
508221,-2.31,53.865,1.4350001
508240,0.595,50.015,0.63
508259,2.1,43.155,0.175
508277,2.555,35.385,0.035
508296,2.8700001,30.905,0.035
508315,3.22,26.495,0.07
508334,3.605,20.23,-0.035
508352,4.55,14.455,-0.525
508371,4.445,8.295,-0.805
508390,2.625,1.505,-0.945
508409,1.855,-4.935,-1.645
508427,2.485,-11.27,-2.695
508446,2.94,-17.710001,-3.64
508465,3.395,-22.47,-4.2
508484,3.115,-26.18,-4.515
508502,2.17,-31.15,-4.9
508521,1.295,-37.415,-5.635
508540,0.84000003,-45.920002,-6.79
508559,0.84000003,-53.235,-8.225
508577,0.945,-51.66,-8.54
508596,-0.525,-48.825,-7.63
508615,-1.995,-49.665,-7.455
508634,-2.065,-52.99,-8.155
508652,-1.4350001,-56.07,-8.715
508671,-1.4,-53.13,-8.225
508690,-0.98,-46.2,-7.14
508708,-0.385,-40.005,-6.23
508726,-0.035,-37.695,-5.7400002
508745,0.455,-35.665,-5.635
508763,1.155,-29.085001,-4.8650002
508783,1.33,-20.895,-3.815
508801,1.575,-14.21,-2.59
508820,1.925,-10.115,-1.785
508839,1.96,-8.435,-1.33
508858,2.03,-7.665,-1.19
508876,2.31,-6.23,-1.365
508895,2.31,-4.76,-1.645
508914,1.995,-3.85,-1.82
508933,1.785,-3.465,-1.89
508951,1.645,-3.465,-2.135
508970,1.575,-3.92,-2.17
508989,1.575,-4.585,-2.03
509008,1.61,-5.39,-1.96
509026,1.085,-5.88,-2.24
509045,0.735,-5.705,-2.73
509064,0.56,-5.215,-2.94
509083,0.42000002,-5.32,-3.08
509101,0.49,-5.425,-2.94
509120,0.805,-5.32,-2.59
509139,1.085,-4.445,-2.135
509158,1.19,-3.955,-1.75
509176,1.05,-3.85,-1.54
509195,1.155,-4.025,-1.925
509214,1.26,-4.445,-2.45
509233,1.26,-4.9,-2.835
509251,0.945,-5.32,-3.08
509270,0.84000003,-5.565,-3.22
509289,1.085,-5.635,-3.08
509308,1.365,-5.6,-2.835
509326,1.05,-5.635,-2.135
509345,0.77,-5.915,-1.6800001
509364,1.015,-6.195,-1.785
509383,1.82,-6.44,-2.485
509401,2.485,-6.475,-3.01
509420,2.59,-6.195,-3.08
509439,2.17,-6.23,-2.52
509458,1.365,-5.88,-1.785
509476,0.7,-5.075,-1.54
509495,0.35,-4.34,-1.75
509514,0.455,-3.64,-2.24
509533,0.875,-3.325,-2.625
509551,1.155,-3.7450001,-2.835
509570,1.505,-4.41,-2.66
509589,1.82,-4.725,-2.31
509608,1.785,-4.935,-1.75
509626,1.75,-4.935,-1.19
509645,1.6800001,-4.69,-1.155
509664,1.54,-4.445,-1.575
509683,1.4,-4.655,-2.065
509701,1.225,-4.9,-2.73
509720,1.19,-5.145,-2.975
509739,1.085,-4.9,-2.59
509758,1.05,-4.62,-2.065
509776,0.98,-4.48,-1.96
509795,1.19,-4.13,-1.89
509814,1.33,-3.7450001,-1.96
509833,1.6800001,-3.5,-1.995
509851,1.82,-3.535,-2.065
509870,1.61,-3.7450001,-1.995
509889,1.505,-3.955,-1.96
509908,1.26,-4.095,-1.96
509926,0.91,-4.585,-1.89
509945,0.805,-4.795,-1.925
509964,0.7,-5.18,-1.96
509983,0.525,-5.285,-1.96
510001,0.56,-5.495,-1.855
510020,0.595,-5.6,-1.785
510039,0.7,-5.46,-1.785
510058,0.56,-5.11,-1.82
510076,0.56,-4.9,-1.89
510095,0.595,-4.585,-2.135
510114,0.56,-4.34,-2.24
510133,0.805,-4.445,-2.24
510151,1.155,-4.725,-2.415
510170,1.4350001,-4.8650002,-2.45
510189,1.75,-5.11,-2.555
510208,1.995,-5.285,-2.45
510226,1.855,-5.635,-2.205
510245,1.785,-5.81,-2.03
510264,1.33,-5.775,-1.4350001
510283,0.7,-5.95,-1.155
510301,0.77,-6.37,-1.4350001
510320,1.4,-6.23,-1.855
510339,2.065,-6.02,-2.38
510358,2.52,-5.775,-2.45
510376,2.1,-5.39,-2.1
510395,1.365,-5.11,-1.785
510414,0.805,-4.76,-1.61
510433,0.455,-4.55,-1.6800001
510451,0.49,-3.885,-2.03
510470,0.56,-3.57,-2.695
510489,0.525,-3.3600001,-2.8
510507,0.595,-3.5,-2.835
510525,0.7,-3.64,-2.835
510544,0.735,-3.71,-2.66
510562,0.595,-3.955,-2.485
510582,0.7,-3.92,-2.345
510600,0.63,-4.06,-2.52
510619,0.455,-4.655,-2.905
510638,0.595,-4.83,-3.185
510657,0.77,-4.655,-3.395
510675,1.155,-4.48,-3.115
510694,1.365,-4.34,-2.835
510713,1.75,-4.13,-2.31
510732,2.135,-3.78,-1.855
510750,2.275,-3.5,-1.575
510769,2.275,-3.3600001,-1.645
510788,2.065,-3.3600001,-1.6800001
510807,1.715,-3.395,-1.75
510825,0.875,-3.255,-2.17
510844,0.35,-2.8700001,-2.66
510863,0.175,-2.66,-3.045
510882,0.035,-2.485,-3.15
510900,0.14,-2.31,-3.045
510919,0.245,-2.555,-2.835
510938,0.665,-3.08,-2.415
510957,0.84000003,-3.5,-1.855
510975,0.98,-3.78,-1.6800001
510994,1.05,-4.165,-1.61
511013,1.19,-4.445,-1.645
511032,1.26,-4.795,-1.645
511050,1.225,-4.725,-1.575
511069,1.19,-5.075,-1.47
511088,1.05,-5.495,-1.925
511107,0.945,-5.215,-2.73
511125,0.665,-4.62,-3.57
511144,0.385,-4.13,-4.025
511163,0.385,-3.92,-3.955
511182,0.14,-3.885,-3.92
511200,-0.21000001,-3.71,-3.395
511219,-0.315,-3.43,-2.66
511238,0.595,-3.29,-2.17
